datetime,low,high,open,close,volumefrom,volumeto
2012-12-04,12.62,13.5,12.68,13.41,63245.72,823838.19
2012-12-05,13.15,13.42,13.41,13.38,29794.93,395716.07
2012-12-06,12.9,13.69,13.38,13.3,46562.54,623136.59
2012-12-07,12.98,13.55,13.3,13.5,32799.57,437726.61
2012-12-08,13.35,13.55,13.5,13.42,13171.51,177338.38
2012-12-09,13.02,13.53,13.42,13.39,28166.62,372655.91
2012-12-10,13.27,13.55,13.39,13.43,24664.9,331115.25
2012-12-11,13.3,13.67,13.43,13.56,28045.88,378671.69
2012-12-12,13.3,13.8,13.56,13.7,37679.23,512418.01
2012-12-13,13.47,13.8,13.7,13.7,24197.68,331480.86
2012-12-14,13.0,13.9,13.7,13.6,70143.98,951046.01
2012-12-15,13.44,13.64,13.6,13.49,15187.66,205671.39
2012-12-16,13.13,13.67,13.49,13.3,42760.55,570895.78
2012-12-17,12.75,13.49,13.3,13.25,63631.25,839092.63
2012-12-18,13.11,13.4,13.25,13.3,23220.51,307326.85
2012-12-19,13.2,13.6,13.3,13.6,38807.1,520163.02
2012-12-20,13.33,13.72,13.6,13.52,32980.36,446364.01
2012-12-21,13.42,13.6,13.52,13.5,25330.45,342557.95
2012-12-22,13.32,13.59,13.5,13.37,14783.4,198463.8
2012-12-23,13.01,13.47,13.37,13.31,23978.22,316965.89
2012-12-24,13.21,13.45,13.31,13.38,16692.15,223315.17
2012-12-25,13.14,13.43,13.38,13.35,13165.69,175265.29
2012-12-26,13.2,13.47,13.35,13.47,15840.13,211349.14
2012-12-27,13.25,13.47,13.47,13.42,19822.05,265311.8
2012-12-28,13.34,13.65,13.42,13.42,23813.01,320223.37
2012-12-29,13.27,13.67,13.42,13.4,26149.14,352722.29
2012-12-30,13.35,13.59,13.4,13.45,11764.2,158277.2
2012-12-31,13.37,13.56,13.45,13.51,15049.79,202798.91
2013-01-01,13.16,13.56,13.51,13.3,28406.21,378879.35
2013-01-02,13.16,13.4,13.3,13.28,17966.81,239156.18
2013-01-03,13.25,13.46,13.28,13.4,18032.25,240845.86
2013-01-04,13.27,13.52,13.4,13.5,29641.92,397884.35
2013-01-05,13.31,13.55,13.5,13.44,21329.93,286932.51
2013-01-06,13.36,13.52,13.44,13.45,12741.13,171497.01
2013-01-07,13.4,13.59,13.45,13.59,25477.72,344083.33
2013-01-08,13.5,13.88,13.59,13.74,42798.37,587223.86
2013-01-09,13.62,13.86,13.74,13.77,28606.38,393192.24
2013-01-10,13.77,14.32,13.77,14.14,51811.03,727790.48
2013-01-11,13.91,14.35,14.14,14.14,40434.54,570677.27
2013-01-12,13.98,14.34,14.14,14.24,26931.84,381546.96
2013-01-13,13.95,14.31,14.24,14.12,38330.15,540759.58
2013-01-14,14.11,14.35,14.12,14.3,22096.95,315016.66
2013-01-15,13.99,14.48,14.3,14.25,51573.23,732428.4
2013-01-16,14.21,14.73,14.25,14.73,45532.49,660929.7
2013-01-17,14.63,15.7,14.73,15.5,65489.44,993185.63
2013-01-18,15.41,15.99,15.5,15.7,56097.55,879655.99
2013-01-19,15.25,15.77,15.7,15.62,34588.82,534667.03
2013-01-20,15.51,15.89,15.62,15.7,25982.13,408455.8
2013-01-21,15.63,16.98,15.7,16.8,61502.1,1007686.44
2013-01-22,16.65,17.59,16.8,17.26,60975.24,1045898.98
2013-01-23,16.8,17.59,17.26,17.5,49439.37,851188.37
2013-01-24,15.61,19.19,17.5,16.9,172009.1,3053222.09
2013-01-25,15.39,17.8,16.9,17.4,80767.49,1345890.12
2013-01-26,16.54,17.88,17.4,17.88,34810.6,597064.17
2013-01-27,17.21,18.0,17.88,17.82,23766.82,419571.12
2013-01-28,17.75,18.88,17.82,18.72,57669.44,1057611.3
2013-01-29,18.7,19.8,18.72,19.53,86082.08,1650126.18
2013-01-30,19.15,19.8,19.53,19.7,45064.83,877863.5
2013-01-31,19.51,21.43,19.7,20.41,99226.7,2042238.64
2013-02-01,20.3,21.13,20.41,20.5,49917.48,1034619.16
2013-02-02,18.0,20.5,20.5,19.63,80501.65,1567325.27
2013-02-03,19.42,20.9,19.63,20.59,34244.3,693849.61
2013-02-04,19.86,21.05,20.59,20.43,52219.14,1066570.21
2013-02-05,20.2,20.79,20.43,20.6,29212.44,600949.67
2013-02-06,20.6,21.33,20.6,21.18,51989.6,1096396.16
2013-02-07,20.77,22.22,21.18,22.15,64263.77,1388465.81
2013-02-08,22.0,22.77,22.15,22.66,48649.93,1090678.48
2013-02-09,22.58,23.99,22.66,23.65,38133.01,886034.01
2013-02-10,22.67,24.11,23.65,23.97,56426.07,1321513.68
2013-02-11,23.65,24.68,23.97,24.65,29526.73,712458.7
2013-02-12,24.3,25.83,24.65,25.17,74239.93,1862561.32
2013-02-13,24.19,26.3,25.17,24.2,90150.21,2296830.8
2013-02-14,21.72,27.6,24.2,27.22,145734.74,3710262.51
2013-02-15,26.1,27.51,27.22,27.1,51714.15,1396017.97
2013-02-16,26.81,27.5,27.1,27.22,18826.94,511421.92
2013-02-17,25.0,27.4,27.22,26.81,77042.22,2033614.64
2013-02-18,26.36,27.15,26.81,26.95,29744.27,795866.42
2013-02-19,26.8,29.65,26.95,29.42,99699.25,2810076.61
2013-02-20,28.99,29.87,29.42,29.65,37209.36,1096641.18
2013-02-21,29.31,29.98,29.65,29.75,34730.51,1030860.6
2013-02-22,29.67,31.3,29.75,30.25,66951.69,2039411.78
2013-02-23,28.0,30.69,30.25,29.8,72278.17,2099763.39
2013-02-24,29.2,30.4,29.8,29.89,24274.89,722940.53
2013-02-25,29.55,30.4,29.89,30.4,26778.95,805270.53
2013-02-26,30.12,31.7,30.4,31.1,42864.33,1329295.41
2013-02-27,30.79,31.65,31.1,30.9,30472.78,951289.24
2013-02-28,30.9,34.52,30.9,33.38,126517.41,4136416.34
2013-03-01,32.92,34.9,33.38,34.5,39786.14,1362290.79
2013-03-02,33.15,34.81,34.5,34.25,36662.49,1241775.93
2013-03-03,33.8,34.5,34.25,34.5,12524.59,427480.57
2013-03-04,34.19,36.7,34.5,36.15,46771.49,1659027.49
2013-03-05,36.15,40.65,36.15,40.33,85425.52,3361374.96
2013-03-06,40.14,49.1,40.33,41.02,126451.72,5712472.93
2013-03-07,33.3,45.5,41.02,42.0,157316.08,6439707.76
2013-03-08,41.02,44.5,42.0,44.18,47095.97,2032649.25
2013-03-09,43.41,46.99,44.18,46.85,44475.89,2020839.64
2013-03-10,45.47,47.95,46.85,46.0,36363.25,1703124.85
2013-03-11,45.54,48.47,46.0,48.4,41390.18,1970814.35
2013-03-12,36.65,48.4,48.4,44.29,183411.75,8014901.58
2013-03-13,43.75,47.3,44.29,46.92,49514.6,2298258.15
2013-03-14,46.05,47.99,46.92,47.17,37041.72,1752628.5
2013-03-15,46.4,47.45,47.17,46.95,20286.44,954285.65
2013-03-16,46.27,47.36,46.95,47.0,16314.97,764861.89
2013-03-17,46.8,47.74,47.0,47.4,13936.62,660618.0
2013-03-18,47.12,52.88,47.4,51.6,65311.59,3199314.24
2013-03-19,50.0,62.0,51.6,59.14,111704.13,6187650.4
2013-03-20,57.7,66.0,59.14,64.49,93136.82,5776620.57
2013-03-21,63.1,74.9,64.49,70.85,94307.76,6514880.18
2013-03-22,65.0,73.75,70.85,69.87,73196.96,5171296.14
2013-03-23,52.35,70.5,69.87,64.35,150462.72,9429382.99
2013-03-24,62.7,72.5,64.35,71.5,42023.26,2896432.3
2013-03-25,69.52,78.0,71.5,73.6,79743.02,5921197.54
2013-03-26,73.11,79.72,73.6,78.5,56667.38,4377374.22
2013-03-27,78.4,89.5,78.5,88.92,72226.75,6129700.26
2013-03-28,75.0,95.7,88.92,86.18,140263.09,12261153.08
2013-03-29,83.01,93.06,86.18,90.5,83174.56,7384104.11
2013-03-30,87.0,94.98,90.5,92.19,37284.61,3420002.53
2013-03-31,91.0,93.8,92.19,93.03,21129.5,1959050.82
2013-04-01,92.24,106.0,93.03,104.0,90563.17,9060022.27
2013-04-02,99.0,118.36,104.0,117.98,81284.67,8747147.45
2013-04-03,110.0,147.0,117.98,135.0,152713.73,19533010.63
2013-04-04,116.39,142.12,135.0,132.12,88362.53,11624021.55
2013-04-05,130.24,144.94,132.12,142.32,68588.73,9549088.76
2013-04-06,139.54,143.9,142.32,142.63,18288.47,2599937.17
2013-04-07,142.63,164.9,142.63,162.3,60954.72,9402722.44
2013-04-08,162.6,194.9,162.3,187.5,114250.73,20732894.67
2013-04-09,186.5,240.11,187.5,230.0,105842.25,22723191.96
2013-04-10,105.0,266.0,230.0,165.0,190174.72,35118119.94
2013-04-11,110.2,188.7,165.0,124.9,118747.72,18867223.23
2013-04-12,54.25,140.0,124.9,117.0,556468.03,47619189.45
2013-04-13,85.5,130.0,117.0,93.0,238347.58,26277415.26
2013-04-14,84.44,110.0,93.0,90.0,166274.96,16197017.56
2013-04-15,71.51,102.0,90.0,82.39,236673.01,20607774.11
2013-04-16,50.01,84.5,82.39,68.36,572349.32,37401572.39
2013-04-17,63.3,98.78,68.36,93.07,327630.05,27937764.27
2013-04-18,86.0,113.0,93.07,109.01,172976.43,16845410.83
2013-04-19,105.54,136.43,109.01,118.48,257166.23,30713924.42
2013-04-20,115.0,132.0,118.48,126.62,74363.62,9222871.37
2013-04-21,110.0,130.5,126.62,119.2,99132.19,12044404.11
2013-04-22,118.5,127.4,119.2,127.4,59153.12,7289977.32
2013-04-23,124.97,144.02,127.4,143.48,116144.9,15637961.69
2013-04-24,140.97,166.43,143.48,154.2,225896.5,34351545.24
2013-04-25,120.09,162.0,154.2,141.71,187652.82,26847891.93
2013-04-26,121.45,144.99,141.71,136.9,129008.48,17061324.92
2013-04-27,122.71,139.88,136.9,128.0,59881.87,7855443.65
2013-04-28,127.5,136.68,128.0,134.44,27523.74,3665399.85
2013-04-29,133.0,149.08,134.44,144.0,70206.17,9987126.11
2013-04-30,134.0,146.93,144.0,139.23,65232.2,9124397.28
2013-05-01,104.0,140.06,139.23,116.38,180008.97,21790982.26
2013-05-02,91.11,126.9,116.38,106.25,234170.94,24937319.55
2013-05-03,79.0,109.0,106.25,98.1,246474.87,22502892.23
2013-05-04,92.0,116.3,98.1,112.9,132623.49,14147864.14
2013-05-05,107.0,118.85,112.9,115.98,84205.37,9557650.72
2013-05-06,106.01,124.9,115.98,112.25,150072.15,17607427.79
2013-05-07,97.52,114.0,112.25,109.6,139667.14,14904474.35
2013-05-08,109.5,116.78,109.6,113.2,61721.62,6996024.29
2013-05-09,108.8,113.72,113.2,112.8,26948.0,3010117.06
2013-05-10,111.54,122.5,112.8,117.7,77483.16,9145408.54
